task_id,Actual_ID,Predicted_ID_XGBoost_WithDetail,Accuracy_XGBoost_WithDetail,Recall_XGBoost_WithDetail
81.0,1001,1006,0.3333333333333333,0.0
82.0,1014,1011,0.5,0.0
83.0,1024,1016,0.5,0.0
84.0,1026,1026,1.0,1.0
78.0,1034,1035,0.5,0.0
79.0,1044,1044,1.0,1.0
80.0,1048,1055,0.3333333333333333,0.0
73.0,1060,1060,1.0,1.0
74.0,1086,1083,0.6666666666666666,0.0
75.0,1094,1090,0.6,0.0
76.0,1100,1100,1.0,1.0
77.0,1110,1107,0.5,0.0
64.0,1114,1115,0.6,0.0
65.0,1119,1121,0.3333333333333333,0.0
66.0,1126,1129,0.6,0.0
67.0,1136,1136,1.0,1.0
68.0,1152,1155,0.7142857142857143,0.0
69.0,1197,1185,0.6666666666666666,0.0
70.0,1201,1200,0.3333333333333333,0.0
71.0,1202,1203,0.5,0.0
72.0,1206,1207,0.3333333333333333,0.0
189.0,1216,1219,0.6666666666666666,0.0
57.0,1220,1236,0.6,0.0
58.0,1248,1256,0.6,0.0
59.0,1263,1258,0.6,0.0
60.0,1283,1269,0.6,0.0
61.0,1293,1284,0.6,0.0
62.0,1302,1294,0.5,0.0
63.0,1305,1309,0.6,0.0
53.0,1331,1326,0.6666666666666666,0.0
54.0,1335,1335,1.0,1.0
55.0,1362,1362,1.0,1.0
56.0,1389,1389,1.0,1.0
48.0,1397,1397,1.0,1.0
46.0,1402,1402,1.0,1.0
47.0,1404,1404,1.0,1.0
49.0,1408,1412,0.6,0.0
50.0,1413,1426,0.7142857142857143,0.0
51.0,1436,1448,0.75,0.0
52.0,1457,1462,0.6,0.0
188.0,1472,1472,1.0,1.0
41.0,1499,1501,0.6,0.0
43.0,1511,1506,0.6,0.0
42.0,1518,1518,1.0,1.0
44.0,1538,1532,0.6,0.0
45.0,1546,1546,1.0,1.0
36.0,1550,1560,0.6666666666666666,0.0
37.0,1570,1568,0.7142857142857143,0.0
38.0,1576,1577,0.6,0.0
39.0,1589,1591,0.6,0.0
40.0,1610,1613,0.6666666666666666,0.0
32.0,1617,1616,0.6,0.0
33.0,1632,1625,0.6,0.0
34.0,1641,1641,1.0,1.0
35.0,1646,1647,0.6,0.0
30.0,1663,1663,1.0,1.0
31.0,1668,1669,0.7142857142857143,0.0
29.0,1677,1710,0.75,0.0
23.0,1713,1715,0.6,0.0
25.0,1727,1741,0.6666666666666666,0.0
24.0,1777,1788,0.6,0.0
26.0,1810,1810,1.0,1.0
27.0,1820,1818,0.6,0.0
28.0,1824,1824,1.0,1.0
22.0,1833,1830,0.3333333333333333,0.0
19.0,1841,1849,0.5,0.0
20.0,1861,1864,0.6,0.0
21.0,1883,1882,0.6,0.0
183.0,1899,1890,0.6,0.0
187.0,1912,1912,1.0,1.0
185.0,1922,1921,0.0,0.0
186.0,1923,1924,0.3333333333333333,0.0
184.0,1934,1931,0.6666666666666666,0.0
182.0,1948,1954,0.5,0.0
13.0,1974,1965,0.3333333333333333,0.0
18.0,1979,1979,1.0,1.0
17.0,1988,1986,0.3333333333333333,0.0
14.0,2003,2007,0.6,0.0
15.0,2028,2018,0.6,0.0
16.0,2047,2050,0.6,0.0
180.0,2075,2074,0.3333333333333333,0.0
181.0,2080,2079,0.3333333333333333,0.0
162.0,2085,2085,1.0,1.0
163.0,2092,2093,0.3333333333333333,0.0
170.0,2103,2113,0.5,0.0
166.0,2124,2124,1.0,1.0
168.0,2132,2134,0.6,0.0
169.0,2144,2153,0.6,0.0
171.0,2164,2169,0.3333333333333333,0.0
173.0,2173,2180,0.5,0.0
172.0,2198,2192,0.5,0.0
174.0,2216,2214,0.6,0.0
176.0,2241,2242,0.5,0.0
178.0,2271,2271,1.0,1.0
179.0,2282,2282,1.0,1.0
177.0,2284,2286,0.3333333333333333,0.0
164.0,2292,2297,0.5,0.0
165.0,2302,2302,1.0,1.0
12.0,2313,2321,0.3333333333333333,0.0
11.0,2330,2331,0.3333333333333333,0.0
9.0,2337,2335,0.3333333333333333,0.0
10.0,2345,2339,0.5,0.0
8.0,2358,2358,1.0,1.0
7.0,2367,2366,0.3333333333333333,0.0
